time,sensor_id,wert,vibration_level
2025-10-15 17:28:34.434+02,AnalogValue,129,Mittel
2025-10-15 17:28:34.444+02,AnalogValue,129,Mittel
2025-10-15 17:28:34.464+02,AnalogValue,183,Mittel
2025-10-15 17:28:34.474+02,AnalogValue,0,Niedrig
2025-10-15 17:28:34.484+02,AnalogValue,0,Niedrig
2025-10-15 17:28:34.494+02,AnalogValue,137,Mittel
2025-10-15 17:28:34.504+02,AnalogValue,121,Mittel
2025-10-15 17:28:34.514+02,AnalogValue,78,Niedrig
2025-10-15 17:28:34.524+02,AnalogValue,78,Niedrig
2025-10-15 17:28:34.534+02,AnalogValue,206,Mittel
2025-10-15 17:28:34.544+02,AnalogValue,280,Mittel
2025-10-15 17:28:34.554+02,AnalogValue,208,Mittel
2025-10-15 17:28:34.574+02,AnalogValue,157,Mittel
2025-10-15 17:28:34.584+02,AnalogValue,110,Mittel
2025-10-15 17:28:34.594+02,AnalogValue,126,Mittel
2025-10-15 17:28:34.604+02,AnalogValue,204,Mittel
2025-10-15 17:28:34.614+02,AnalogValue,243,Mittel
2025-10-15 17:28:34.624+02,AnalogValue,0,Niedrig
2025-10-15 17:28:34.634+02,AnalogValue,218,Mittel
2025-10-15 17:28:34.644+02,AnalogValue,79,Niedrig
2025-10-15 17:28:34.654+02,AnalogValue,0,Niedrig
2025-10-15 17:28:34.664+02,AnalogValue,203,Mittel
2025-10-15 17:28:34.684+02,AnalogValue,0,Niedrig
2025-10-15 17:28:34.694+02,AnalogValue,250,Mittel
2025-10-15 17:28:34.704+02,AnalogValue,17,Niedrig
2025-10-15 17:28:34.714+02,AnalogValue,0,Niedrig
2025-10-15 17:28:34.724+02,AnalogValue,123,Mittel
2025-10-15 17:28:34.734+02,AnalogValue,156,Mittel
2025-10-15 17:28:34.744+02,AnalogValue,173,Mittel
2025-10-15 17:28:34.754+02,AnalogValue,113,Mittel
2025-10-15 17:28:34.764+02,AnalogValue,145,Mittel
2025-10-15 17:28:34.774+02,AnalogValue,269,Mittel
2025-10-15 17:28:34.794+02,AnalogValue,234,Mittel
2025-10-15 17:28:34.804+02,AnalogValue,0,Niedrig
2025-10-15 17:28:34.814+02,AnalogValue,29,Niedrig
2025-10-15 17:28:34.824+02,AnalogValue,52,Niedrig
2025-10-15 17:28:34.834+02,AnalogValue,121,Mittel
2025-10-15 17:28:34.844+02,AnalogValue,76,Niedrig
2025-10-15 17:28:34.854+02,AnalogValue,166,Mittel
2025-10-15 17:28:34.864+02,AnalogValue,107,Mittel
2025-10-15 17:28:34.874+02,AnalogValue,153,Mittel
2025-10-15 17:28:34.884+02,AnalogValue,208,Mittel
2025-10-15 17:28:34.904+02,AnalogValue,138,Mittel
2025-10-15 17:28:34.914+02,AnalogValue,180,Mittel
2025-10-15 17:28:34.924+02,AnalogValue,157,Mittel
2025-10-15 17:28:34.934+02,AnalogValue,103,Mittel
2025-10-15 17:28:34.944+02,AnalogValue,119,Mittel
2025-10-15 17:28:34.954+02,AnalogValue,208,Mittel
2025-10-15 17:28:34.964+02,AnalogValue,220,Mittel
2025-10-15 17:28:34.974+02,AnalogValue,0,Niedrig
2025-10-15 17:28:34.984+02,AnalogValue,0,Niedrig
2025-10-15 17:28:34.994+02,AnalogValue,259,Mittel
2025-10-15 17:28:35.014+02,AnalogValue,126,Mittel
2025-10-15 17:28:35.024+02,AnalogValue,148,Mittel
2025-10-15 17:28:35.034+02,AnalogValue,59,Niedrig
2025-10-15 17:28:35.044+02,AnalogValue,136,Mittel
2025-10-15 17:28:35.054+02,AnalogValue,212,Mittel
2025-10-15 17:28:35.064+02,AnalogValue,126,Mittel
2025-10-15 17:28:35.074+02,AnalogValue,180,Mittel
2025-10-15 17:28:35.084+02,AnalogValue,57,Niedrig
2025-10-15 17:28:35.094+02,AnalogValue,196,Mittel
2025-10-15 17:28:35.104+02,AnalogValue,192,Mittel
2025-10-15 17:28:35.124+02,AnalogValue,245,Mittel
2025-10-15 17:28:35.134+02,AnalogValue,172,Mittel
2025-10-15 17:28:35.144+02,AnalogValue,146,Mittel
2025-10-15 17:28:35.154+02,AnalogValue,1,Niedrig
2025-10-15 17:28:35.164+02,AnalogValue,286,Mittel
2025-10-15 17:28:35.174+02,AnalogValue,211,Mittel
2025-10-15 17:28:35.184+02,AnalogValue,0,Niedrig
2025-10-15 17:28:35.194+02,AnalogValue,94,Niedrig
2025-10-15 17:28:35.204+02,AnalogValue,95,Niedrig
2025-10-15 17:28:35.214+02,AnalogValue,125,Mittel
2025-10-15 17:28:35.234+02,AnalogValue,83,Niedrig
2025-10-15 17:28:35.244+02,AnalogValue,37,Niedrig
2025-10-15 17:28:35.254+02,AnalogValue,160,Mittel
2025-10-15 17:28:35.264+02,AnalogValue,131,Mittel
2025-10-15 17:28:35.274+02,AnalogValue,162,Mittel
2025-10-15 17:28:35.284+02,AnalogValue,136,Mittel
2025-10-15 17:28:35.294+02,AnalogValue,0,Niedrig
2025-10-15 17:28:35.304+02,AnalogValue,114,Mittel
2025-10-15 17:28:35.314+02,AnalogValue,238,Mittel
2025-10-15 17:28:35.324+02,AnalogValue,0,Niedrig
2025-10-15 17:28:35.344+02,AnalogValue,235,Mittel
2025-10-15 17:28:35.354+02,AnalogValue,70,Niedrig
2025-10-15 17:28:35.364+02,AnalogValue,130,Mittel
2025-10-15 17:28:35.374+02,AnalogValue,293,Mittel
2025-10-15 17:28:35.384+02,AnalogValue,203,Mittel
2025-10-15 17:28:35.394+02,AnalogValue,156,Mittel
2025-10-15 17:28:35.404+02,AnalogValue,305,Mittel
2025-10-15 17:28:35.414+02,AnalogValue,199,Mittel
2025-10-15 17:28:35.424+02,AnalogValue,150,Mittel
2025-10-15 17:28:35.434+02,AnalogValue,228,Mittel
2025-10-15 17:28:35.454+02,AnalogValue,146,Mittel
2025-10-15 17:28:35.464+02,AnalogValue,17,Niedrig
2025-10-15 17:28:35.474+02,AnalogValue,146,Mittel
2025-10-15 17:28:35.484+02,AnalogValue,175,Mittel
2025-10-15 17:28:35.494+02,AnalogValue,125,Mittel
2025-10-15 17:28:35.504+02,AnalogValue,131,Mittel
2025-10-15 17:28:35.514+02,AnalogValue,0,Niedrig
2025-10-15 17:28:35.524+02,AnalogValue,206,Mittel
2025-10-15 17:28:35.534+02,AnalogValue,74,Niedrig
2025-10-15 17:28:35.544+02,AnalogValue,12,Niedrig
2025-10-15 17:28:35.564+02,AnalogValue,20,Niedrig
2025-10-15 17:28:35.574+02,AnalogValue,59,Niedrig
2025-10-15 17:28:35.584+02,AnalogValue,99,Niedrig
2025-10-15 17:28:35.594+02,AnalogValue,118,Mittel
2025-10-15 17:28:35.604+02,AnalogValue,141,Mittel
2025-10-15 17:28:35.614+02,AnalogValue,17,Niedrig
2025-10-15 17:28:35.624+02,AnalogValue,87,Niedrig
2025-10-15 17:28:35.634+02,AnalogValue,161,Mittel
2025-10-15 17:28:35.644+02,AnalogValue,181,Mittel
2025-10-15 17:28:35.654+02,AnalogValue,83,Niedrig
2025-10-15 17:28:35.674+02,AnalogValue,267,Mittel
2025-10-15 17:28:35.684+02,AnalogValue,71,Niedrig
2025-10-15 17:28:35.694+02,AnalogValue,114,Mittel
2025-10-15 17:28:35.704+02,AnalogValue,307,Mittel
2025-10-15 17:28:35.714+02,AnalogValue,195,Mittel
2025-10-15 17:28:35.724+02,AnalogValue,86,Niedrig
2025-10-15 17:28:35.734+02,AnalogValue,21,Niedrig
2025-10-15 17:28:35.744+02,AnalogValue,0,Niedrig
2025-10-15 17:28:35.754+02,AnalogValue,262,Mittel
2025-10-15 17:28:35.764+02,AnalogValue,72,Niedrig
2025-10-15 17:28:35.784+02,AnalogValue,185,Mittel
2025-10-15 17:28:35.794+02,AnalogValue,228,Mittel
2025-10-15 17:28:35.804+02,AnalogValue,201,Mittel
2025-10-15 17:28:35.814+02,AnalogValue,146,Mittel
2025-10-15 17:28:35.824+02,AnalogValue,311,Mittel
2025-10-15 17:28:35.834+02,AnalogValue,18,Niedrig
2025-10-15 17:28:35.844+02,AnalogValue,106,Mittel
2025-10-15 17:28:35.854+02,AnalogValue,118,Mittel
2025-10-15 17:28:35.864+02,AnalogValue,204,Mittel
2025-10-15 17:28:35.874+02,AnalogValue,199,Mittel
2025-10-15 17:28:35.894+02,AnalogValue,247,Mittel
2025-10-15 17:28:35.904+02,AnalogValue,0,Niedrig
2025-10-15 17:28:35.914+02,AnalogValue,60,Niedrig
2025-10-15 17:28:35.924+02,AnalogValue,0,Niedrig
2025-10-15 17:28:35.934+02,AnalogValue,88,Niedrig
2025-10-15 17:28:35.944+02,AnalogValue,176,Mittel
2025-10-15 17:28:35.954+02,AnalogValue,105,Mittel
2025-10-15 17:28:35.964+02,AnalogValue,107,Mittel
2025-10-15 17:28:35.974+02,AnalogValue,200,Mittel
2025-10-15 17:28:35.984+02,AnalogValue,243,Mittel
2025-10-15 17:28:36.004+02,AnalogValue,176,Mittel
2025-10-15 17:28:36.014+02,AnalogValue,274,Mittel
2025-10-15 17:28:36.024+02,AnalogValue,238,Mittel
2025-10-15 17:28:36.034+02,AnalogValue,176,Mittel
2025-10-15 17:28:36.044+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.054+02,AnalogValue,109,Mittel
2025-10-15 17:28:36.064+02,AnalogValue,111,Mittel
2025-10-15 17:28:36.074+02,AnalogValue,117,Mittel
2025-10-15 17:28:36.084+02,AnalogValue,146,Mittel
2025-10-15 17:28:36.094+02,AnalogValue,63,Niedrig
2025-10-15 17:28:36.114+02,AnalogValue,189,Mittel
2025-10-15 17:28:36.124+02,AnalogValue,141,Mittel
2025-10-15 17:28:36.134+02,AnalogValue,105,Mittel
2025-10-15 17:28:36.144+02,AnalogValue,160,Mittel
2025-10-15 17:28:36.154+02,AnalogValue,258,Mittel
2025-10-15 17:28:36.164+02,AnalogValue,288,Mittel
2025-10-15 17:28:36.174+02,AnalogValue,259,Mittel
2025-10-15 17:28:36.184+02,AnalogValue,284,Mittel
2025-10-15 17:28:36.194+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.204+02,AnalogValue,24,Niedrig
2025-10-15 17:28:36.224+02,AnalogValue,196,Mittel
2025-10-15 17:28:36.234+02,AnalogValue,241,Mittel
2025-10-15 17:28:36.244+02,AnalogValue,121,Mittel
2025-10-15 17:28:36.254+02,AnalogValue,281,Mittel
2025-10-15 17:28:36.264+02,AnalogValue,243,Mittel
2025-10-15 17:28:36.274+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.284+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.294+02,AnalogValue,172,Mittel
2025-10-15 17:28:36.304+02,AnalogValue,203,Mittel
2025-10-15 17:28:36.314+02,AnalogValue,165,Mittel
2025-10-15 17:28:36.334+02,AnalogValue,269,Mittel
2025-10-15 17:28:36.344+02,AnalogValue,92,Niedrig
2025-10-15 17:28:36.354+02,AnalogValue,150,Mittel
2025-10-15 17:28:36.364+02,AnalogValue,206,Mittel
2025-10-15 17:28:36.374+02,AnalogValue,52,Niedrig
2025-10-15 17:28:36.384+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.394+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.404+02,AnalogValue,10,Niedrig
2025-10-15 17:28:36.414+02,AnalogValue,165,Mittel
2025-10-15 17:28:36.424+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.444+02,AnalogValue,47,Niedrig
2025-10-15 17:28:36.454+02,AnalogValue,125,Mittel
2025-10-15 17:28:36.464+02,AnalogValue,103,Mittel
2025-10-15 17:28:36.474+02,AnalogValue,145,Mittel
2025-10-15 17:28:36.484+02,AnalogValue,79,Niedrig
2025-10-15 17:28:36.494+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.504+02,AnalogValue,37,Niedrig
2025-10-15 17:28:36.514+02,AnalogValue,145,Mittel
2025-10-15 17:28:36.524+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.534+02,AnalogValue,126,Mittel
2025-10-15 17:28:36.554+02,AnalogValue,95,Niedrig
2025-10-15 17:28:36.564+02,AnalogValue,17,Niedrig
2025-10-15 17:28:36.574+02,AnalogValue,127,Mittel
2025-10-15 17:28:36.584+02,AnalogValue,117,Mittel
2025-10-15 17:28:36.594+02,AnalogValue,175,Mittel
2025-10-15 17:28:36.604+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.614+02,AnalogValue,257,Mittel
2025-10-15 17:28:36.624+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.634+02,AnalogValue,149,Mittel
2025-10-15 17:28:36.644+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.664+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.674+02,AnalogValue,199,Mittel
2025-10-15 17:28:36.684+02,AnalogValue,92,Niedrig
2025-10-15 17:28:36.694+02,AnalogValue,258,Mittel
2025-10-15 17:28:36.704+02,AnalogValue,145,Mittel
2025-10-15 17:28:36.714+02,AnalogValue,36,Niedrig
2025-10-15 17:28:36.724+02,AnalogValue,148,Mittel
2025-10-15 17:28:36.734+02,AnalogValue,121,Mittel
2025-10-15 17:28:36.744+02,AnalogValue,0,Niedrig
2025-10-15 17:28:36.754+02,AnalogValue,164,Mittel
2025-10-15 17:28:36.774+02,AnalogValue,113,Mittel
2025-10-15 17:28:36.784+02,AnalogValue,88,Niedrig
2025-10-15 17:28:36.794+02,AnalogValue,28,Niedrig
2025-10-15 17:28:36.804+02,AnalogValue,103,Mittel
2025-10-15 17:28:36.814+02,AnalogValue,243,Mittel
2025-10-15 17:28:36.824+02,AnalogValue,180,Mittel
2025-10-15 17:28:36.834+02,AnalogValue,88,Niedrig
2025-10-15 17:28:36.844+02,AnalogValue,259,Mittel
2025-10-15 17:28:36.854+02,AnalogValue,263,Mittel
2025-10-15 17:28:36.864+02,AnalogValue,234,Mittel
2025-10-15 17:28:36.884+02,AnalogValue,80,Niedrig
2025-10-15 17:28:36.894+02,AnalogValue,74,Niedrig
2025-10-15 17:28:36.904+02,AnalogValue,168,Mittel
2025-10-15 17:28:36.914+02,AnalogValue,215,Mittel
2025-10-15 17:28:36.924+02,AnalogValue,146,Mittel
2025-10-15 17:28:36.934+02,AnalogValue,56,Niedrig
2025-10-15 17:28:36.944+02,AnalogValue,168,Mittel
2025-10-15 17:28:36.954+02,AnalogValue,103,Mittel
2025-10-15 17:28:36.964+02,AnalogValue,180,Mittel
2025-10-15 17:28:36.974+02,AnalogValue,193,Mittel
2025-10-15 17:28:43.384+02,AnalogValue,39,Niedrig
2025-10-15 17:28:43.394+02,AnalogValue,67,Niedrig
2025-10-15 17:28:43.404+02,AnalogValue,172,Mittel
2025-10-15 17:28:43.414+02,AnalogValue,44,Niedrig
2025-10-15 17:28:43.424+02,AnalogValue,44,Niedrig
2025-10-15 17:28:43.434+02,AnalogValue,78,Niedrig
2025-10-15 17:28:43.444+02,AnalogValue,47,Niedrig
2025-10-15 17:28:43.454+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.464+02,AnalogValue,43,Niedrig
2025-10-15 17:28:43.484+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.494+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.504+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.514+02,AnalogValue,107,Mittel
2025-10-15 17:28:43.524+02,AnalogValue,150,Mittel
2025-10-15 17:28:43.534+02,AnalogValue,109,Mittel
2025-10-15 17:28:43.544+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.554+02,AnalogValue,49,Niedrig
2025-10-15 17:28:43.564+02,AnalogValue,59,Niedrig
2025-10-15 17:28:43.574+02,AnalogValue,110,Mittel
2025-10-15 17:28:43.594+02,AnalogValue,67,Niedrig
2025-10-15 17:28:43.604+02,AnalogValue,126,Mittel
2025-10-15 17:28:43.614+02,AnalogValue,25,Niedrig
2025-10-15 17:28:43.624+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.634+02,AnalogValue,95,Niedrig
2025-10-15 17:28:43.644+02,AnalogValue,44,Niedrig
2025-10-15 17:28:43.654+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.664+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.674+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.684+02,AnalogValue,169,Mittel
2025-10-15 17:28:43.704+02,AnalogValue,24,Niedrig
2025-10-15 17:28:43.714+02,AnalogValue,111,Mittel
2025-10-15 17:28:43.724+02,AnalogValue,197,Mittel
2025-10-15 17:28:43.734+02,AnalogValue,40,Niedrig
2025-10-15 17:28:43.744+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.754+02,AnalogValue,57,Niedrig
2025-10-15 17:28:43.764+02,AnalogValue,177,Mittel
2025-10-15 17:28:43.774+02,AnalogValue,156,Mittel
2025-10-15 17:28:43.784+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.794+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.814+02,AnalogValue,95,Niedrig
2025-10-15 17:28:43.824+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.834+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.844+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.854+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.864+02,AnalogValue,64,Niedrig
2025-10-15 17:28:43.874+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.884+02,AnalogValue,98,Niedrig
2025-10-15 17:28:43.894+02,AnalogValue,126,Mittel
2025-10-15 17:28:43.904+02,AnalogValue,88,Niedrig
2025-10-15 17:28:43.924+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.934+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.944+02,AnalogValue,130,Mittel
2025-10-15 17:28:43.954+02,AnalogValue,223,Mittel
2025-10-15 17:28:43.964+02,AnalogValue,127,Mittel
2025-10-15 17:28:43.974+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.984+02,AnalogValue,0,Niedrig
2025-10-15 17:28:43.994+02,AnalogValue,107,Mittel
2025-10-15 17:28:44.004+02,AnalogValue,88,Niedrig
2025-10-15 17:28:44.014+02,AnalogValue,55,Niedrig
2025-10-15 17:28:44.034+02,AnalogValue,37,Niedrig
2025-10-15 17:28:44.044+02,AnalogValue,141,Mittel
2025-10-15 17:28:44.054+02,AnalogValue,72,Niedrig
2025-10-15 17:28:44.064+02,AnalogValue,149,Mittel
2025-10-15 17:28:44.074+02,AnalogValue,0,Niedrig
2025-10-15 17:28:44.084+02,AnalogValue,30,Niedrig
2025-10-15 17:28:44.094+02,AnalogValue,121,Mittel
2025-10-15 17:28:44.104+02,AnalogValue,106,Mittel
2025-10-15 17:28:44.114+02,AnalogValue,86,Niedrig
2025-10-15 17:28:44.124+02,AnalogValue,0,Niedrig
2025-10-15 17:28:44.144+02,AnalogValue,137,Mittel
2025-10-15 17:28:44.154+02,AnalogValue,24,Niedrig
2025-10-15 17:28:44.164+02,AnalogValue,122,Mittel
2025-10-15 17:28:44.174+02,AnalogValue,83,Niedrig
2025-10-15 17:28:44.184+02,AnalogValue,126,Mittel
2025-10-15 17:28:44.194+02,AnalogValue,0,Niedrig
2025-10-15 17:28:44.204+02,AnalogValue,0,Niedrig
2025-10-15 17:28:44.214+02,AnalogValue,119,Mittel
2025-10-15 17:28:44.224+02,AnalogValue,98,Niedrig
2025-10-15 17:28:44.234+02,AnalogValue,22,Niedrig
2025-10-15 17:28:44.254+02,AnalogValue,109,Mittel
2025-10-15 17:28:44.264+02,AnalogValue,121,Mittel
2025-10-15 17:28:44.274+02,AnalogValue,126,Mittel
